WINEDMA version 1.0.1 beta (5/31/01)
Copyright (c) 2001

4/4/2018 2:10:47 PM

OUTPUT FOR SCALE UTILITY

Name of input file:    E:\EDMA\pelvis_all mice.xyz
Name of new data file: 

Number of landmarks:    18
Number of dimensions:   3
Number of observations: 78

Data in new file were scaled by geometric mean.

Scaling measures for observations:

C6        6.28508
C8        6.50147
C9        6.06936
C10       6.58495
C26       6.58437
C27       6.58039
C28       6.41522
C29       6.58901
C30       6.09618
C46       6.61419
C47       6.46634
C48       6.40358
C49       6.30977
C50       6.42863
C66       6.49621
C67       6.37450
C68       6.54396
C69       6.42450
C70       6.41533
I16       6.44180
I17       6.36730
I18       6.71987
I19       6.53430
I20       6.41967
I36       6.41228
I37       6.68677
I38       6.66355
I39       6.66355
I40       6.50907
I56       6.35756
I57       6.50652
I58       6.27479
I59       6.30614
I60       6.66530
I76       6.53922
I77       6.30449
I78       6.58024
I79       6.55660
I80       6.40453
R1        6.46443
R2        6.26770
R3        6.55326
R4        6.51678
R5        6.29671
R21       6.51725
R22       6.53730
R23       6.34829
R24       6.34196
R25       6.35766
R41       6.35474
R42       6.12872
R43       6.27497
R44       6.26774
R45       6.34258
R61       6.40565
R62       6.40143
R63       6.58774
R64       6.43554
R65       6.53441
S11       6.50603
S12       6.42125
S13       6.44420
S14       6.39156
S15       6.46164
S31       6.69493
S32       6.32570
S33       6.59672
S35       6.37273
S51       6.27795
S52       6.58477
S53       6.61122
S54       6.48886
S55       6.22946
S71       6.34418
S72       6.23244
S73       6.31368
S74       6.14661
S75       6.32637
